yearmonth,region,fueltype,cost
2025년02월,경기,경유,1594.77
2025년03월,경기,경유,1546.24
2025년04월,경기,경유,1505.4
2025년05월,경기,경유,1498.32
2020년01월,강원,경유,1411.52
2020년02월,강원,경유,1393.79
2020년03월,강원,경유,1313.29
2020년04월,강원,경유,1164.1
2020년05월,강원,경유,1085.34
2020년06월,강원,경유,1136.13
2020년07월,강원,경유,1169.67
2020년08월,강원,경유,1173.73
2020년09월,강원,경유,1168.31
2020년10월,강원,경유,1151.69
2020년11월,강원,경유,1134.95
2020년12월,강원,경유,1171.81
2021년01월,강원,경유,1235.63
2021년02월,강원,경유,1258.44
2021년03월,강원,경유,1310.71
2021년04월,강원,경유,1335.83
2021년05월,강원,경유,1345.3
2021년06월,강원,경유,1380.61
2021년07월,강원,경유,1430.7
2021년08월,강원,경유,1449.65
2021년09월,강원,경유,1448.46
2021년10월,강원,경유,1516.41
2021년11월,강원,경유,1560.92
2021년12월,강원,경유,1493.94
2022년01월,강원,경유,1474.6
2022년02월,강원,경유,1545.03
2022년03월,강원,경유,1820.21
2022년04월,강원,경유,1920.7
2022년05월,강원,경유,1975.05
2022년06월,강원,경유,2100.22
2022년07월,강원,경유,2107.7
2022년08월,강원,경유,1916.94
2022년09월,강원,경유,1871.78
2022년10월,강원,경유,1854.21
2022년11월,강원,경유,1892.79
2022년12월,강원,경유,1810.21
2023년01월,강원,경유,1700.8
2023년02월,강원,경유,1636.05
2023년03월,강원,경유,1565.48
2023년04월,강원,경유,1550.19
2023년05월,강원,경유,1498.96
2023년06월,강원,경유,1416.76
2023년07월,강원,경유,1408.3
2023년08월,강원,경유,1578.37
2023년09월,강원,경유,1679.35
2023년10월,강원,경유,1709.78
2023년11월,강원,경유,1655.58
2023년12월,강원,경유,1554.21
2024년01월,강원,경유,1505.37
2024년02월,강원,경유,1531.19
2024년03월,강원,경유,1550.21
2024년04월,강원,경유,1570.02
2024년05월,강원,경유,1563.95
2024년06월,강원,경유,1511.38
2024년07월,강원,경유,1553.23
2024년08월,강원,경유,1548.93
2024년09월,강원,경유,1479.94
2024년10월,강원,경유,1440.3
2024년11월,강원,경유,1476.98
2024년12월,강원,경유,1509.09
2025년01월,강원,경유,1571.22
2025년02월,강원,경유,1606.84
2025년03월,강원,경유,1579.58
2025년04월,강원,경유,1541.68
2025년05월,강원,경유,1525.82
2020년01월,충북,경유,1399.47
2020년02월,충북,경유,1374.12
2020년03월,충북,경유,1287.38
2020년04월,충북,경유,1139.98
2020년05월,충북,경유,1072.05
2020년06월,충북,경유,1127.02
2020년07월,충북,경유,1163.76
2020년08월,충북,경유,1165.22
2020년09월,충북,경유,1159.37
2020년10월,충북,경유,1141.17
2020년11월,충북,경유,1123.57
2020년12월,충북,경유,1172.9
2021년01월,충북,경유,1244.41
2021년02월,충북,경유,1264.5
2021년03월,충북,경유,1314.79
2021년04월,충북,경유,1334.8
2021년05월,충북,경유,1342.15
2021년06월,충북,경유,1376.97
2021년07월,충북,경유,1425.85
2021년08월,충북,경유,1442.26
2021년09월,충북,경유,1439.12
2021년10월,충북,경유,1512.51
2021년11월,충북,경유,1552.81
2021년12월,충북,경유,1473.68
2022년01월,충북,경유,1455.06
2022년02월,충북,경유,1537.17
2022년03월,충북,경유,1830.18
2022년04월,충북,경유,1912.14
2022년05월,충북,경유,1970.48
2022년06월,충북,경유,2093.8
2022년07월,충북,경유,2092.12
2022년08월,충북,경유,1894.16
2022년09월,충북,경유,1856.71
2022년10월,충북,경유,1845.74
2022년11월,충북,경유,1887.12
2022년12월,충북,경유,1789.07
2023년01월,충북,경유,1681
2023년02월,충북,경유,1608.79
